year,age,life_stage,location,visit_frequency_to_baba_per_year,memory_category,memory_description,emotional_impact_score,relationship_closeness_score,major_life_event,baba_health_status,notes
1998,0,Early Childhood,Hometown,0,Bond Formation,Born in hometown - same village as BaBa,5,5,Birth,Healthy,Starting point of life near BaBa
1999,1,Early Childhood,Hometown,6,Daily Life,Living next door to BaBa's house daily,7,6,N/A,Healthy,Grew up in close proximity
2000,2,Early Childhood,Hometown,9,Daily Life,Regular visits to BaBa's house as toddler,7,6,N/A,Healthy,BaBa always awake before me
2001,3,Early Childhood,Hometown,13,Comfort & Care,BaBa prepares Mont T breakfast with tea or coffee every morning,8,7,N/A,Healthy,Favorite breakfast memory
2002,4,Early Childhood,Hometown,18,Comfort & Care,Running to BaBa after being disciplined by father,9,8,N/A,Healthy,BaBa's house as safe refuge
2003,5,Early Childhood,Hometown,22,Entertainment,Listening to BaBa's radio - rare luxury in village,8,8,Started primary school,Healthy,Radio was the only entertainment in town
2004,6,Early Childhood,Hometown,27,Storytelling,BaBa and Grandma Cho share life stories at bedtime,9,8,N/A,Healthy,Life wisdom passed through stories
2005,7,Childhood,Hometown,33,Food & Sharing,BaBa shares cookies and snacks received from villagers,7,8,N/A,Healthy,Generous sharing habit extended to brothers too
2006,8,Childhood,Hometown,38,Comfort & Care,BaBa applies medicine when injured after punishment,9,9,N/A,Healthy,Physical and emotional healing provided
2007,9,Childhood,Hometown,44,Comfort & Care,Sleeping over at BaBa's house feeling safe and loved,9,9,N/A,Healthy,Strongest sense of belonging in childhood
2008,10,Childhood,Hometown,50,Daily Life,Morning wake-up ritual with radio music and breakfast,8,9,N/A,Healthy,Best mornings of childhood
2009,11,Childhood,Hometown,47,Clothing & Gift,BaBa gives personal clothing whenever expressed a need,7,9,N/A,Healthy,Generosity with his most prized possessions
2010,12,Childhood,Hometown,43,Storytelling,BaBa talks about clothes and furniture and not living long when drunk,6,8,N/A,Healthy,Bittersweet - drinking habit noticed with concern
2011,13,Childhood,Hometown,39,Clothing & Gift,BaBa gives his pre-marriage shirt for school festival,7,8,N/A,Healthy,Old-fashioned shirt caused laughter but was given with pure love
2012,14,Childhood,Hometown,35,Concern,Tried many times to stop BaBa from drinking traditional alcohol,6,9,N/A,Healthy,Genuine worry about BaBa's long-term health
2013,15,High School Transition,Monywa,10,Separation,Moved to Monywa for high school - first major separation from BaBa,7,8,Moved to Monywa for high school,Healthy,Visits reduced to school holiday periods only
2014,16,High School,Monywa,8,Reunion,Visits during Myanmar festivals - Thingyan and Thadingyut,7,8,N/A,Healthy,Festival visits felt more precious due to rarity
2015,17,High School,Monywa,8,Milestone,Passed matriculation exam - returned home to share news with BaBa,8,8,Passed matriculation exam,Healthy,BaBa proud of academic milestone
2016,18,University Year 1,Mandalay,5,Separation,Started university in Mandalay - even further from hometown,6,7,Started university in Mandalay,Healthy,Down to only 4 to 5 visits per year
2017,19,University Year 2,Mandalay,5,Reunion,Brief festival visits - BaBa repeatedly asks about graduation timeline,6,7,N/A,Healthy,BaBa sighed hearing 5 more years to graduate
2018,20,University Year 3,Mandalay,4,Reunion,Short visits during Thadingyut and Thingyan festivals only,5,7,N/A,Healthy,Distance and busyness slowly widening the gap
2019,21,University Year 4,Mandalay,4,Regret,Planned to buy BaBa a good liquor bottle after midterm holidays,6,7,N/A,Healthy pre-stroke,Promise was never fulfilled - source of deep lasting regret
2020,22,University Year 4,Mandalay,2,Loss,BaBa suffered sudden stroke and passed away at age 72 in November 2020,10,10,BaBa passed away November 2020,Passed away aged 72,Most painful and defining moment of this entire life journey
2021,23,Post-University,Myanmar,0,Political Crisis,Quit university due to Myanmar military coup and joined Civil Disobedience Movement,4,N/A,Myanmar coup - left university - joined CDM,N/A,BaBa's absence deeply felt during national crisis and personal uncertainty
2022,24,Political Crisis,Myanmar,0,Grief and Reflection,Living through coup aftermath - reflecting on BaBa's lessons about impermanence,5,N/A,N/A,N/A,BaBa's words about Samsara and impermanence resonated with lived reality
2023,25,Parami University Year 1,Yangon,0,New Beginning,Enrolled at Parami University in Yangon - rebuilding academic journey,6,N/A,Started Parami University in Yangon,N/A,New chapter while carrying BaBa's memory and values forward
2024,26,Parami University Year 2,Chiang Mai Thailand,0,Displacement,Relocated to Chiang Mai Thailand for security reasons - continued studies abroad,5,N/A,Relocated to Chiang Mai Thailand,N/A,Resilience inherited from BaBa - adapting to new environments
2025,27,Parami University Year 3,Chiang Mai Thailand,0,Continuity,Continuing studies in Chiang Mai - BaBa's memory and lessons remain guiding force,6,N/A,N/A,N/A,Journey continues - Samsara theme of impermanence woven through every life stage
